徒	junior		10	878	25
待	wait		9	879	25
往	journey		8	880	25
征	subjugate		8	881	25
径	diameter		8	882	25
彼	he		8	883	25
役	duty		7	884	25
徳	benevolence		14	885	25
徹	penetrate		15	886	25
徴	indications		14	887	25
懲	penal		18	888	25
微	delicate		13	889	25
街	boulevard		12	890	25
衡	equilibrium		16	891	25
稿	draft		15	892	26
稼	earnings		15	893	26
程	extent		12	894	26
税	tax		12	895	26
稚	immature		13	896	26
和	harmony		8	897	26
移	shift		11	898	26
秒	second		9	899	26
秋	autumn		9	900	26
愁	distress		13	901	26
私	private		7	902	26
秩	regularity		10	903	26
秘	secret		10	904	26
称	appellation		10	905	26
利	profit		7	906	26
梨	pear tree		11	907	26
穫	harvest		18	908	26
穂	ear of a plant		15	909	26
稲	rice plant		14	910	26
香	incense		9	911	26
季	seasons		8	912	26
委	committee		8	913	26
秀	excel		7	914	26
透	transparent		10	915	26
誘	entice		14	916	26
穀	cereals		14	917	26
菌	germ		11	918	26
米	rice		6	919	26
粉	flour		10	920	26
粘	sticky		11	921	26
粒	grains		11	922	26
粧	cosmetics		12	923	26
迷	astray		9	924	26
粋	chic		10	925	26
糧	provisions		18	926	26
菊	chrysanthemum		11	927	26
奥	core		12	928	26
数	number		13	929	26
楼	watchtower		13	930	26
類	sort		18	931	26
漆	lacquer		14	932	26
様	Esq.		14	933	26
求	request		7	934	26
球	ball		11	935	26
救	salvation		11	936	26
竹	bamboo		6	937	26
笑	laugh		10	938	26
笠	bamboo hat		11	939	26
笹	bamboo grass		11	940	26
筋	muscle		12	941	26
箱	box		15	942	26
筆	writing brush		12	943	26
筒	cylinder		12	944	26
等	etc.		12	945	26
算	calculate		14	946	26
答	solution		12	947	26
策	scheme		12	948	26
簿	register		19	949	26
築	fabricate		16	950	26
人	person		2	951	27
佐	assistant		7	952	27
但	however		7	953	27
住	dwell		7	954	27
位	rank		7	955	27
仲	go-between		6	956	27
体	body		7	957	27
悠	remote		11	958	27
件	affair		6	959	27
仕	attend		5	960	27
他	other		5	961	27
伏	prostrated		6	962	27
伝	transmit		6	963	27
仏	Buddha		4	964	27
休	rest		6	965	27
仮	provisional		6	966	27
伯	chief		7	967	27
俗	vulgar		9	968	27
信	faith		9	969	27
佳	excellent		8	970	27
依	reliant		8	971	27
例	example		8	972	27
個	individual		10	973	27
健	healthy		11	974	27
側	side		11	975	27
侍	waiter		8	976	27
停	halt		11	977	27
値	price		10	978	27
倣	emulate		10	979	27
倒	overthrow		10	980	27
偵	spy		11	981	27
僧	Buddhist priest		13	982	27
億	hundred million		15	983	27
儀	ceremony		15	984	27
償	reparation		17	985	27
仙	hermit		5	986	27
催	sponsor		13	987	27
仁	humanity		4	988	27
侮	scorn		8	989	27
使	use		8	990	27
便	convenience		9	991	27
倍	double		10	992	27
優	tenderness		17	993	27
伐	fell		6	994	27
宿	inn		11	995	27
傷	wound		13	996	27
保	protect		9	997	27
褒	praise		15	998	27
傑	greatness		13	999	27
付	adhere		5	1000	27
符	token		11	1001	27
府	municipality		8	1002	27
任	responsibility		6	1003	27
賃	fare		13	1004	27
代	substitute		5	1005	27
袋	sack		11	1006	27
貸	lend		12	1007	27
化	change		4	1008	27
花	flower		7	1009	27
貨	freight		11	1010	27
傾	lean		13	1011	27
何	what		7	1012	27
荷	baggage		10	1013	27
俊	sagacious		9	1014	27
傍	bystander		12	1015	27
久	long time		3	1016	27
畝	furrow		10	1017	27
囚	captured		5	1018	27
内	inside		4	1019	27
丙	third class		5	1020	27
柄	design		9	1021	27
肉	meat		6	1022	27
腐	rot		14	1023	27
座	sit		10	1024	27
卒	graduate		8	1025	27
傘	umbrella		12	1026	27
匁	monme		4	1027	28
以	by means of		5	1028	28
似	similar		7	1029	28
併	join		8	1030	28
瓦	tile		5	1031	28
瓶	flower pot		11	1032	28
宮	Shinto shrine		10	1033	28
営	occupation		12	1034	28
善	virtuous		12	1035	28
年	year		6	1036	28
夜	night		8	1037	28
液	fluid		11	1038	28
塚	hillock		12	1039	28
幣	cash		15	1040	28
弊	abuse		15	1041	28
喚	yell		12	1042	28
換	interchange		12	1043	28
融	dissolve		16	1044	28
施	alms		9	1045	29
旋	rotation		11	1046	29
遊	play		12	1047	29
